node;clustering_coeffs;name_metrics;name_dataset;followers;popularity;genres;chart_hits
03kgFyfGLkQgnVt4pvgfB8;1.0;DJ Romulo MPC;DJ Romulo MPC;47.0;6.0;[];
03nEPH1YUpp5oY2UzFA0Vv;1.0;Jordan Ivey;Jordan Ivey;281.0;13.0;[];
03nSqofa6RoAIXSlnqNFOi;1.0;Vegita;Vegita;11.0;10.0;[];
03rPX2ReFwBjE9xtFfyRKd;1.0;R8;R8;32.0;2.0;[];
03rx4skYwi5hIYqz20zMnD;1.0;Sukker Lyn;Sukker Lyn;2880.0;11.0;[];
03veJpSIc7GAx0mPLcskjI;1.0;Ashish Pandit;Ashish Pandit;1632.0;27.0;[];
03wei1gynOPSup8cERYf0Z;1.0;Núria Rial;Núria Rial;6096.0;32.0;['baroque singing', 'classical performance', 'classical soprano', 'opera'];
03wlYZ0ebYVTEunPQXmfMv;1.0;DJ Bokinha;DJ Bokinha;3.0;5.0;[];
03x05QX9YCq5RX5RqoWEUf;1.0;Mauro Menendez;Mauro Menendez;5.0;10.0;[];
03yMPz7wEIn6nk7ZzRKBff;1.0;Jascha;Jascha;861.0;24.0;[];
041MN0B0ViCShD0MWESSM9;1.0;Bebe;Bebe;25.0;15.0;[];
042lgHI9JqRf8yEMwRIaHT;1.0;Hume Forex;Hume Forex;21.0;6.0;[];
0473TlzNowswPtN7v5U4Pb;1.0;Oreia;Oreia;7251.0;29.0;[];
048eLqPGxqWk7PblwFmXgE;1.0;LIT UP;LIT UP;3355.0;56.0;[];
04D8RpHu6iejb1gmCFfAg1;1.0;Big T;Big T;331.0;9.0;['luxembourgian hip hop'];
04EB5cFPGrz2naKeSXKkwD;1.0;Mr Juve;Mr Juve;1013.0;31.0;['manele'];
04ILyMtRG2yRiOQ0PVgH9P;1.0;Lautaro DJ;Lautaro DJ;1995.0;18.0;[];
04IhdKDJn2wLpzmxrsoZde;1.0;Uncle Vato;Uncle Vato;7.0;10.0;[];
04MeeMJxMaBiAabJjqtCXR;1.0;André Truth;André Truth;160.0;20.0;[];
04RcBDcdPJFkayj394n2Td;1.0;Adamastor;Adamastor;1237.0;15.0;['hip hop tuga'];
04SfSwgkfrXmp1SG4SSuiG;1.0;PIANOJOLLOF;PIANOJOLLOF;108.0;24.0;[];
04W3uQqCaAxM9bbh5gzFER;1.0;DJ FELIPE SANTOS;DJ FELIPE SANTOS;7.0;2.0;[];
04YSw7UXO3e1AKezbynmKo;1.0;AFTERMUSIC;AFTERMUSIC;7.0;18.0;[];
04hVlilLAeZ8R3CitkGLgu;1.0;o2 Tbb;o2 Tbb;361.0;36.0;[];
04per0tCHICZspNsokIwSh;1.0;saied El Mabady;saied El Mabady;1.0;8.0;[];
04tSi9ncTcnzJtZoRhvZRC;1.0;Ross Wilson;Ross Wilson;4895.0;24.0;['australian rock'];
04u640K0Xm6mCile5Gw9Et;1.0;NuDisorder;NuDisorder;70.0;16.0;[];
04us4Qua3Ve05mwFo2DiJE;1.0;Allan Natal;Allan Natal;6912.0;27.0;['circuit', 'tribal house', 'vocal house'];
04xz9bIBYTIqEpmRvQkfvu;1.0;Tyronee;Tyronee;106.0;41.0;[];
050We7RRmwTPrHYcn6grw7;1.0;Levent Güneş;Levent Güneş;4521.0;39.0;['turkish soundtrack'];
052OvFCMWh1qNnM53aekJQ;1.0;DJ Grzs;DJ Grzs;108.0;20.0;[];
0556LgOZHneV9tkTgy3hTh;1.0;Mc Vick;Mc Vick;0.0;1.0;[];
05AgKaCjWDb1UNg7yPOFEs;1.0;Robin Yaas;Robin Yaas;300.0;18.0;[];
05DldxBTzWiRt9FqDvF5cA;1.0;Farenheit;Farenheit;937.0;17.0;[];
05GArk2WAfXphqEqjwVAN1;1.0;Dear Sunday;Dear Sunday;2438.0;43.0;[];
05Hkkz7JgVKmarPdvwRhdW;1.0;Americo Original;Americo Original;21230.0;20.0;['brega funk'];
05Jkv3CdlsPA96MC8ZYLhY;1.0;NOVODOR;NOVODOR;442.0;30.0;[];
05KDKIpxshxrB9BMewaCBW;1.0;Love Regenerator;Love Regenerator;49323.0;47.0;[];
05LLsyiJRSjBpe54u0jJRz;1.0;Waleed Al Shami;Waleed Al Shami;157734.0;31.0;['arab pop', 'khaleeji iraqi', 'khaliji'];
05NI8pRITNyOdNYQAG0Ogf;1.0;Yari M;Yari M;5668.0;34.0;[];
05OVRDpkoBtLlLOOsieTiu;1.0;Diggo;Diggo;3002.0;32.0;['pagode baiano'];
05RbDB13aoIZwFzHqe8ehO;1.0;Robbie Wessels;Robbie Wessels;139162.0;41.0;['african rock', 'afrikaans', 'south african pop'];
05TVVv1ktbRL1Co7yxAjRV;1.0;Anshuman Mukherjee;Anshuman Mukherjee;18.0;26.0;[];
05cqfWVtssCo3KVcqEAYG3;1.0;Jewell;Jewell;2011.0;42.0;[];
05gLAfcZRjyxxr96ebcqbG;1.0;Vincent Malin;Vincent Malin;2242.0;22.0;['german pop'];
05lUf6WvncEEhi6MxQgb9F;1.0;Killa Ki;Killa Ki;2292.0;9.0;[];
05rgB31Fc3cUiLSqVi9ZDn;1.0;RaOol;RaOol;573.0;11.0;[];
05sJonb3y2TbIn6OJRoMCC;1.0;Kim Mijeong;Kim Mijeong;2.0;2.0;[];
05tJjVhGrOOu1NizEmaeqb;1.0;T.O.M;T.O.M;35.0;24.0;[];
05tleZ8NtjaLPU5oJyzR2N;1.0;Chophouze;Chophouze;2391.0;25.0;['beats', 'trap beats'];
05vdnPUOduqa2XslgbtU4R;1.0;Tava;Tava;453.0;31.0;['sky room'];
064n3U4roNU1C0sClXNM8M;1.0;Rupankar Bagchi;Rupankar Bagchi;68984.0;31.0;['classic bangla pop', 'west bengali pop'];
066uPoZkYRi2aP2U1HxnMY;1.0;Devo TLR;Devo TLR;671.0;19.0;[];
