graph;n_nodes;n_edges;connected_components;avg_clustering_coeff;global_clustering_coeff;approx_global_clustering_coeff;max_closeness;avg_closeness;max_eigenvector;avg_eigenvector
rand_random_top10popularity_100_190_7_0.999999999_1736605996903681_0;190;1277;1;0.436155340217756;0.24615833850421578;0.2503;0.6472602739726028;0.43763686648298633;0.3260390783136021;0.05941025705996911
rand_random_top10popularity_100_190_7_0.999999999_17366059969204926_1;190;1281;1;0.4582426403837155;0.280744959211944;0.2826;0.6342281879194631;0.4235345462720394;0.31868897322580286;0.0591228282404287
rand_random_top10popularity_100_190_7_0.999999999_17366059969346848_2;190;1276;1;0.4832797976916921;0.2941450898063914;0.2968;0.6038338658146964;0.42196606492407696;0.28257921213676856;0.05851407694794744
rand_random_top10popularity_100_190_7_0.999999999_17366059969489965_3;190;1277;1;0.46844649082436934;0.2776689520078355;0.2807;0.5981012658227848;0.4215272595270232;0.26151794109215626;0.05899796014852514
rand_random_top10popularity_100_190_7_0.999999999_17366059969633293_4;190;1279;1;0.4096334735925218;0.25902061855670105;0.2548;0.6450511945392492;0.4280178531578122;0.3282723695966986;0.05900940676482113
rand_random_top10popularity_100_190_7_0.999999999_17366059969803188_5;190;1276;1;0.4540092423150836;0.27045206869339744;0.2725;0.6363636363636364;0.42978921500423145;0.31551685049040157;0.05936592354193207
rand_random_top10popularity_100_190_7_0.999999999_17366059969955356_6;190;1275;1;0.45014379738577226;0.2702512413844215;0.2747;0.7026022304832714;0.43263400220458204;0.37620741430590593;0.059171490015530376
rand_random_top10popularity_100_190_7_0.999999999_17366059970102077_7;190;1276;1;0.47242204895837314;0.2923900118906064;0.2851;0.6038338658146964;0.4202366419330219;0.26486887331486947;0.059323405322293715
rand_random_top10popularity_100_190_7_0.999999999_1736605997024835_8;190;1281;1;0.44974609855274666;0.27129969929836284;0.2702;0.6217105263157895;0.4295067276189349;0.2909082724065974;0.05845211946495858
rand_random_top10popularity_100_190_7_0.999999999_17366059970395217_9;190;1277;1;0.47654143844107727;0.2778888888888889;0.2685;0.6539792387543253;0.42772128479775195;0.32223643388533857;0.058707125733081914
rand_random_top10popularity_100_190_7_0.999999999_17366059970537307_10;190;1280;1;0.4742272157915187;0.2781078107810781;0.2665;0.6654929577464789;0.43051612805590406;0.3446501345304336;0.05893795883523555
rand_random_top10popularity_100_190_7_0.999999999_17366059970683553_11;190;1279;1;0.4532746798956932;0.275385773428679;0.2773;0.6385135135135135;0.4255164326012532;0.3119302384687523;0.05887604658042394
rand_random_top10popularity_100_190_7_0.999999999_17366059970836675_12;190;1277;1;0.5113763872310271;0.280857908847185;0.2839;0.6654929577464789;0.43727811813605916;0.3312388641299535;0.05906154830240414
rand_random_top10popularity_100_190_7_0.999999999_17366059970974686_13;190;1277;1;0.46753321670561354;0.27365053383430676;0.2847;0.627906976744186;0.42818265563706576;0.29685748539835544;0.05897263819557161
rand_random_top10popularity_100_190_7_0.999999999_17366059971121757_14;190;1280;1;0.4171416192860961;0.2676933792516349;0.2728;0.6217105263157895;0.4223850270058832;0.2890925555683689;0.05877583994738458
rand_random_top10popularity_100_190_7_0.999999999_17366059971271443_15;190;1278;1;0.4582192441639462;0.2877409406322282;0.2909;0.6156351791530945;0.4231740370052474;0.28657696216329553;0.059056327290352637
rand_random_top10popularity_100_190_7_0.999999999_1736605997141077_16;190;1278;1;0.4625598320981319;0.2951622780159216;0.2997;0.5779816513761468;0.41010489807615796;0.2617840987138139;0.05941077718907618
rand_random_top10popularity_100_190_7_0.999999999_17366059971546416_17;190;1277;1;0.471611702127753;0.2783874321358438;0.2703;0.627906976744186;0.4273696412216828;0.3124565008103432;0.059526272985153554
rand_random_top10popularity_100_190_7_0.999999999_17366059971693468_18;190;1278;1;0.4714320455181433;0.27518044321932467;0.2724;0.6678445229681979;0.4321600560916538;0.3381847288049111;0.05838481323687241
rand_random_top10popularity_100_190_7_0.999999999_1736605997183688_19;190;1279;1;0.4436873652611264;0.2787852391510928;0.2781;0.5815384615384616;0.41799598990117964;0.2586170526344906;0.05909455088153091
rand_random_top10popularity_100_190_7_0.999999999_17366059971982155_20;190;1280;1;0.47968909912145713;0.2677056827820187;0.2673;0.6342281879194631;0.438852609839194;0.2918591437281579;0.05880115298801148
rand_random_top10popularity_100_190_7_0.999999999_17366059972129736_21;190;1275;1;0.4579513375551055;0.2822114272495952;0.2861;0.6798561151079137;0.4262863884426726;0.36468890773849777;0.05892730691184557
rand_random_top10popularity_100_190_7_0.999999999_17366059972269351_22;190;1279;1;0.46812902087824276;0.2981779957953749;0.3018;0.6176470588235294;0.410590925676052;0.2949934472775506;0.058788501859629236
rand_random_top10popularity_100_190_7_0.999999999_17366059972418525_23;190;1281;1;0.45202519640581046;0.28484392926375757;0.2707;0.6077170418006431;0.41837846432950687;0.30663269960770767;0.058658775492334336
rand_random_top10popularity_100_190_7_0.999999999_17366059972565465_24;190;1277;1;0.4721686931561591;0.27701808557565066;0.2714;0.6774193548387096;0.43279880892648415;0.3531683660161637;0.058908592761319
rand_random_top10popularity_100_190_7_0.999999999_17366059972703073_25;190;1275;1;0.4358853502612041;0.27962218649517684;0.2798;0.6237623762376238;0.41786110161615875;0.3176400124867561;0.05886461438650936
rand_random_top10popularity_100_190_7_0.999999999_17366059972848022_26;190;1280;1;0.4796627153016349;0.28659739077669905;0.2847;0.5981012658227848;0.4189125764577674;0.2849720687506112;0.05896051196817827
rand_random_top10popularity_100_190_7_0.999999999_1736605997299149_27;190;1279;1;0.4510660671864648;0.2859188174747514;0.2822;0.6342281879194631;0.42352632434099574;0.3137157092827309;0.058491770287240424
rand_random_top10popularity_100_190_7_0.999999999_1736605997313589_28;190;1279;1;0.44892284738207333;0.28803350618268847;0.2925;0.6019108280254777;0.4167640373917833;0.27613578479331974;0.05932652350715205
rand_random_top10popularity_100_190_7_0.999999999_173660599732736_29;190;1280;1;0.4428459670959355;0.28280676842977165;0.2837;0.6217105263157895;0.4182765546119496;0.29556165942703727;0.05877606223691517
rand_random_top10popularity_100_190_7_0.999999999_17366059973419905_30;190;1276;1;0.4487061573137492;0.2741133824133936;0.2741;0.6494845360824743;0.4235661041861558;0.31857432800732555;0.0588985623625756
rand_random_top10popularity_100_190_7_0.999999999_17366059973575673_31;190;1279;1;0.46931610516677424;0.2929257437338955;0.2823;0.6019108280254777;0.42049968825875983;0.29850710321865337;0.05872179955469054
rand_random_top10popularity_100_190_7_0.999999999_17366059973719394_32;190;1279;1;0.48011009576319136;0.2973591344475899;0.2923;0.6156351791530945;0.41616022076699305;0.29601449856173045;0.05884326322751564
