node;eigenvector;pagerank;closeness;degree;clustering_coeffs
6Xg22wJOAcnvPUfk5WvODH;0.019888685731054363;0.0028285552060344143;0.10862424105853491;0.006864988558352403;0.3333333333333333
55tJwpPIz9BMrSLM45iEXX;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
3wYcmejLVtOoHIq9szUugh;2.869738388637394e-12;0.004596373212603452;0.005148741418764302;0.004576659038901602;0.0
5snNHNlYT2UrtZo5HCJkiw;0.30479868384483794;0.011720391466863425;0.15477880988775428;0.038901601830663615;0.17647058823529413
2FgZrgTMX6Sk0VNcOsEPmm;0.04209547949307826;0.007944225412054907;0.12860111297734592;0.020594965675057208;0.05555555555555555
3UwlejyX2b458azZ7eCnHb;2.8697383886373945e-12;0.004596373212603452;0.005148741418764302;0.004576659038901602;0.0
4qRXrzUmdy3p33lgvJEzdv;0.010211054064813218;0.0030571839607914657;0.10291468830907184;0.006864988558352403;0.0
0tzSBCPJZmHTdOA3ZV2mN3;0.07392772763880079;0.002470025127014672;0.12218108861654237;0.006864988558352403;0.3333333333333333
3cjEqqelV9zb4BYE3qDQ4O;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
33oY0RTyXAMYBM6QSImuo7;6.853850894287866e-12;0.004239278988006733;0.006102212051868802;0.004576659038901602;0.0
4y0wFJ5jmCUNRLZfsw1I7g;0.00018314138808560283;0.0019371286809724021;0.07030348097235518;0.002288329519450801;0.0
1yKCQp9RVRzENoLUnsIQT5;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
4EPYWwU4c8eG2GzD7MenUA;0.06700080974760257;0.0024073548818474367;0.12672828123495739;0.006864988558352403;0.3333333333333333
3eCd0TZrBPm2n9cDG6yWfF;0.17101010115586818;0.005767885916443456;0.14449829852989607;0.018306636155606407;0.25
4XpUIb8uuNlIWVKmgKZXC0;0.26708170247156243;0.013328914664436744;0.15508530258060133;0.041189931350114416;0.10457516339869281
