graph;n_nodes;n_edges;connected_components;avg_clustering_coeff;global_clustering_coeff;approx_global_clustering_coeff;max_eigenvector;avg_eigenvector
rand_random_pop_200_18147_3_0.999999_17366946919304533_0;18147;54431;1;0.5863800848193242;0.062124638978750105;0.0629;0.5339132208250564;0.0023452496926277327
rand_random_pop_200_18147_3_0.999999_1736694692968663_1;18147;54432;1;0.5874351491095396;0.06084133654079793;0.0613;0.6815027669610062;0.0018368325801776456
rand_random_pop_200_18147_3_0.999999_1736694694069757_2;18147;54432;1;0.5903498951200482;0.07309256488589631;0.0697;0.6745979416987703;0.00163268494246224
rand_random_pop_200_18147_3_0.999999_17366946949701853_3;18147;54432;1;0.5875465200678736;0.06598888477673412;0.0632;0.6805819777626806;0.0017923063541414558
rand_random_pop_200_18147_3_0.999999_17366946960448453_4;18147;54432;1;0.5874195065998871;0.06319221758810425;0.0564;0.6749861460426216;0.0018243526502524675
rand_random_pop_200_18147_3_0.999999_17366946970692925_5;18147;54432;1;0.5902595713902379;0.0634984601612258;0.0617;0.6772057784882416;0.0018495842131085844
rand_random_pop_200_18147_3_0.999999_1736694698201535_6;18147;54432;1;0.5911726476317544;0.05679886266161752;0.0591;0.6698599496691594;0.001981327598822445
rand_random_pop_200_18147_3_0.999999_1736694699291415_7;18147;54432;1;0.5877365244350586;0.06777224997894186;0.0649;0.6778458818217293;0.0016953791088041518
rand_random_pop_200_18147_3_0.999999_17366947002550967_8;18147;54431;1;0.5897371729544181;0.0770149942718107;0.0812;0.6726625034018461;0.001640637934534584
rand_random_pop_200_18147_3_0.999999_17366947012754338_9;18147;54432;1;0.5911623850623241;0.08315307542569927;0.0786;0.617945754652583;0.0019420891718698585
rand_random_pop_200_18147_3_0.999999_17366947020744712_10;18147;54431;1;0.5898562762317616;0.06868864028284659;0.0722;0.6633275911315271;0.0018471784302452555
rand_random_pop_200_18147_3_0.999999_17366947030198777_11;18147;54432;1;0.5894523489909762;0.0782895295613594;0.0725;0.6638747443268097;0.0017332546722039978
rand_random_pop_200_18147_3_0.999999_17366947038613148_12;18147;54432;1;0.5886920419779338;0.06673541936620325;0.0699;0.6722322570239342;0.0016557652726405516
rand_random_pop_200_18147_3_0.999999_17366947050456848_13;18147;54432;1;0.5881208967162151;0.06354735090367274;0.0652;0.6809237616030142;0.0018193183421750443
rand_random_pop_200_18147_3_0.999999_173669470605481_14;18147;54432;1;0.5897997777114743;0.09387642629878981;0.0924;0.6677892219407306;0.0013777624726277415
rand_random_pop_200_18147_3_0.999999_1736694706778732_15;18147;54432;1;0.5897399277492633;0.057094207783591755;0.0555;0.6684831114239037;0.0019305197540540402
rand_random_pop_200_18147_3_0.999999_17366947078490083_16;18147;54432;1;0.5869129022118724;0.06388677523967783;0.0623;0.6345366860619958;0.001961663038382127
rand_random_pop_200_18147_3_0.999999_1736694708851336_17;18147;54432;1;0.5873738224056149;0.05989154826860844;0.0571;0.6759797126237447;0.001789223575890429
rand_random_pop_200_18147_3_0.999999_17366947102079782_18;18147;54431;1;0.5917073978729575;0.08205205776366832;0.0828;0.6696857258830967;0.001618409180921638
