graph;n_nodes;n_edges;connected_components;avg_clustering_coeff;global_clustering_coeff;approx_global_clustering_coeff;max_eigenvector;avg_eigenvector
rand_random_real_100_156422_2_0.85_17365464169118962_0;156422;312840;1;0.6312963068474219;0.03786143907582767;0.0381;0.7005864152422737;0.0002541344791883797
rand_random_real_100_156422_2_0.85_1736546421043264_1;156422;312840;1;0.6310404774962449;0.02877778541131683;0.0293;0.6984844431281894;0.0002814876602715667
rand_random_real_100_156422_2_0.85_1736546425934733_2;156422;312840;1;0.6316471424755296;0.03397935399750193;0.0349;0.6982396154577615;0.00027862017411348707
rand_random_real_100_156422_2_0.85_17365464306466384_3;156422;312840;1;0.6314449945500119;0.0246338061188751;0.0248;0.7013104394237175;0.00032162007910237466
rand_random_real_100_156422_2_0.85_1736546436019782_4;156422;312840;1;0.632587605371946;0.027870302070180375;0.0294;0.6990482496535766;0.00029617258332248074
rand_random_real_100_156422_2_0.85_1736546441237556_5;156422;312840;1;0.6305626223035582;0.034205206349097364;0.034;0.5727363294631758;0.00034785598711948294
rand_random_real_100_156422_2_0.85_17365464452606409_6;156422;312840;1;0.6332698890886547;0.01954490864914699;0.0188;0.7009094212884974;0.0003576333608504731
rand_random_real_100_156422_2_0.85_17365464517758498_7;156422;312840;1;0.6308108059695547;0.024413950510485255;0.0223;0.7002564158337276;0.0003319573262533235
rand_random_real_100_156422_2_0.85_17365464577220376_8;156422;312840;1;0.6323777289759605;0.022563831199387024;0.0214;0.7006669400637949;0.00034008148676745046
rand_random_real_100_156422_2_0.85_1736546463057865_9;156422;312840;1;0.6311195295059191;0.03960095685596984;0.0376;0.6969962208982118;0.00026287866771622576
rand_random_real_100_156422_2_0.85_17365464678922799_10;156422;312840;1;0.6312799922718796;0.03457426564626584;0.0318;0.6978788083058791;0.0002784035145094107
rand_random_real_100_156422_2_0.85_17365464720200517_11;156422;312840;1;0.6316889143546653;0.03175415007268332;0.032;0.6698161430286897;0.00031547396304352
rand_random_real_100_156422_2_0.85_17365464762179697_12;156422;312840;1;0.6324747647430794;0.03365563901538928;0.0303;0.6883779894850363;0.00028405038182227166
rand_random_real_100_156422_2_0.85_17365464818714838_13;156422;312840;1;0.631291165401459;0.027777319449825446;0.0296;0.6993962438548995;0.00029392482531397454
rand_random_real_100_156422_2_0.85_17365464863703327_14;156422;312840;1;0.6308184733988592;0.04221995878788855;0.041;0.6943759158040862;0.0002534341827039259
rand_random_real_100_156422_2_0.85_17365464900430572_15;156422;312840;1;0.631303765981658;0.03347346219458517;0.0316;0.6902575539040083;0.0002846200348013182
rand_random_real_100_156422_2_0.85_17365464960025609_16;156422;312840;1;0.631923387178297;0.031906010840205445;0.0309;0.6950590467091257;0.0002805310543499499
rand_random_real_100_156422_2_0.85_17365465002232304_17;156422;312840;1;0.6322693534994072;0.024241670425867102;0.0241;0.7021639302050231;0.0003294455654335359
rand_random_real_100_156422_2_0.85_1736546505225474_18;156422;312840;1;0.6309435384974881;0.03259949320270272;0.0288;0.6986371943464161;0.00028699000190707345
rand_random_real_100_156422_2_0.85_17365465094267037_19;156422;312840;1;0.6315365403524001;0.03346286084324412;0.034;0.5640072902078272;0.00034406826466347495
rand_random_real_100_156422_2_0.85_17365465135080888_20;156422;312840;1;0.631373031874974;0.034251342466830155;0.0315;0.6976365802912445;0.00027814053891453286
rand_random_real_100_156422_2_0.85_1736546519866592_21;156422;312840;1;0.630880446397699;0.02201973638374115;0.0241;0.7006900212846388;0.00033997254728963545
rand_random_real_100_156422_2_0.85_17365465251683471_22;156422;312840;1;0.6312285789544338;0.03642846951920989;0.0369;0.6934170734043903;0.0002681942403787227
rand_random_real_100_156422_2_0.85_17365465289915128_23;156422;312840;1;0.63014900589257;0.04035428526998428;0.039;0.6931136904408194;0.00026205903310755075
rand_random_real_100_156422_2_0.85_17365465325694933_24;156422;312840;1;0.6325861639593262;0.024088265437383752;0.0235;0.7023355411205954;0.0003194029852483604
rand_random_real_100_156422_2_0.85_17365465374637764_25;156422;312840;1;0.6315196351633358;0.03014708575376965;0.032;0.6190700580480781;0.00035528789843347055
rand_random_real_100_156422_2_0.85_17365465446851802_26;156422;312840;1;0.6326439910414664;0.022836597590481365;0.0219;0.7003693400694811;0.00033597792823445474
rand_random_real_100_156422_2_0.85_17365465498403444_27;156422;312840;1;0.6307294712581006;0.03900762989369767;0.0383;0.6920622809890195;0.0002495380525300148
rand_random_real_100_156422_2_0.85_17365465535242383_28;156422;312840;1;0.6305425285180335;0.035219224559457335;0.0335;0.6979763260267452;0.0002758546288256872
rand_random_real_100_156422_2_0.85_1736546557390448_29;156422;312840;1;0.6314814274114616;0.03682229436690275;0.0386;0.6989410961810574;0.00025457305458487337
