;classical;country;dance;dubstep;edm;folk;house;indie;j-pop;jazz
connected_components;541;244;475;144;337;920;960;2243;162;784
avg_clustering_coeff;0.0013354997068175751;0.032742498346054784;0.10988850880551569;0.08595024107821847;0.12724174906165;0.018175901875901877;0.08603223423005212;0.016725473036037632;0.0220512095285235;0.011661246587032298
global_clustering_coeff;0.00008767891979570811;0.05660377358490566;0.1077654171494281;0.046349089571454845;0.110340237265573;0.07698887938408897;0.07088339972572325;0.045769346582354715;0.09878682842287695;0.02706766917293233
approx_global_clustering_coeff;0.0001;0.058;0.1129;0.045;0.1082;0.0699;;0.0443;0.097;0.0256
nodes ;1260;530;2210;351;1346;1250;3249;3860;290;1161
edges;775;441;8190;331;4568;372;8187;2052;165;421
