node;betweenness;degree;closeness;pagerank;eigenvector;clustering_coeffs
71BhXa24Zf5zcikUb00l2N;0.0;0.0007451564828614009;0.12082785479955063;0.00013927976682426892;1.3546902851222444e-07;1.0
2sjnyyL9NXijL3Fr2eLikf;0.00040786470871278206;0.004222553402881272;0.12917952348465725;0.0007022741524998354;3.728720178946674e-06;0.3161764705882353
1IQ4CjwKkdARjL5KtYiMt4;0.0;0.0;0.0;4.4736724377502866e-05;4.458598715376266e-47;0.0
7siPnM6FjNP8KnXO5YDwAH;0.002777837144005004;0.004967709885742673;0.15199051201845884;0.0008204656630305912;3.706961326516421e-05;0.22105263157894736
7wU2WGCJ8HxkekHHE2QLul;0.004117616716698962;0.008693492300049677;0.18993599919562293;0.0006708957075974225;0.03946349724070455;0.2453781512605042
7ciBW1p3KBsYIkFk4UmwS8;0.0008896858062501398;0.005216095380029807;0.1653960978805798;0.0003867592174571007;0.021607883874758888;0.2904761904761905
6FJeuwLBCX8VSTf6hp1Vc9;4.319747726732759e-06;0.0004967709885742673;0.002366967651442097;0.00025269034939655967;9.164768455979019e-29;0.0
0Do6bAo2kcVLp7ekzypskJ;0.0019058688675864326;0.0029806259314456036;0.1283931677558678;0.0008576040424693119;1.1870265008953631e-05;0.0
1miuiUk8Xya3zRHZzqAYAW;0.0005136393743165582;0.0014903129657228018;0.11994441890278182;0.0003198525912171111;1.2423568106523274e-07;0.13333333333333333
5qpRZGcyFKPkQqecBMZ1wz;0.0;0.0;0.0;4.4736724377502866e-05;4.458598715376266e-47;0.0
3jPN2U65cMPzvozEBue5zp;9.134348814625774e-08;0.0007451564828614009;0.12634227569290682;0.00014666726200840207;1.4907944184211156e-06;0.6666666666666666
7h1amg0X7Q5d0D5KfuyKTg;0.0007389653137042058;0.001987083954297069;0.1599489925336533;0.00027967065933245727;9.930503729848032e-05;0.4642857142857143
24BYRlsS8uIO4jA71mJ4Js;0.0;0.0;0.0;4.4736724377502866e-05;4.458598715376266e-47;0.0
1AACxWCwNIa3ecOBQJnXRV;0.0004745037964401601;0.007699950322901142;0.1724002608299053;0.00047411930229754166;0.031838403750143185;0.3225806451612903
6CAOElXrWvhb594GKitCch;0.0008281904716640156;0.0022354694485842027;0.11870363673800523;0.0006376874595105955;5.950549102881157e-07;0.0
5R42oko4xV2U7uqlZXbzqk;9.814273129645437e-05;0.0022354694485842027;0.11208896399539243;0.0003420743538859385;5.4329979288685723e-08;0.1111111111111111
5ttgIeUVka6FLyi00Uu5h8;0.0019882298796672234;0.004967709885742673;0.1643283928634684;0.0009992053329498116;0.00047200651038115137;0.08421052631578947
5ZVHfahjeu8Z81RYyhcLDH;9.38992260999277e-07;0.0007451564828614009;0.10542456089022534;0.00015179355223449772;1.685724129596043e-08;0.3333333333333333
5f7VJjfbwm532GiveGC0ZK;0.006124224948278241;0.01838052657724789;0.20230691062583023;0.0017752502224087068;0.01112071959392714;0.17660125879303962
4QrBoWLm2WNlPdbFhmlaUZ;0.000511093652625331;0.01564828614008942;0.17812706109715787;0.0008262203165915347;0.09718886381841649;0.3758320532514081
2IHoZ3RrDJIikMRsYgHjhy;0.001177910564913579;0.005961251862891207;0.14803835231423554;0.0006830465054819581;3.620334153705942e-06;0.32971014492753625
6L7j9oK58YpVLZClqX0iF4;0.0;0.00024838549428713363;0.00024838549428713363;0.00029824482918016076;2.992114948207605e-39;0.0
1gs79u8PKkWAW1yfymbkTt;0.0;0.0004967709885742673;0.14273354927951556;0.00010492242343397126;4.458278567475319e-05;1.0
5zId1SmYy46E9v2KQsSTFR;0.004331458474021852;0.003229011425732737;0.15034988123699686;0.0009261449496070364;0.00010488584896649665;0.05128205128205128
3J7r4VsNmuWixU0nXvyPd8;0.0022267462764496366;0.001987083954297069;0.17368471105175778;0.00048344112890153564;0.001175528576708267;0.03571428571428571
1frSJ3BwjRHE9jgMRQV5wC;0.0;0.00024838549428713363;0.10783725717587592;0.00013540927950328257;2.5078944822076492e-08;0.0
1KQJOTeIMbixtnSWY4sYs2;0.0004698276688729965;0.001987083954297069;0.1568673856510103;0.0003352444491884325;0.0003069182818097727;0.35714285714285715
1xr2G8Hlx4QWmT9HaUbmoO;0.002631533973831347;0.009190263288623945;0.18406364283751359;0.0009728584840668453;0.0032987003819634443;0.16666666666666666
6zgklcaF5juoL4nx54Ohan;3.6586646830790135e-06;0.0012419274714356682;0.12831877574720224;0.00022665706876828293;1.1792751794216898e-06;0.5
2ufQfSFDFXfMS7MEMzdGZE;0.00030433432141453053;0.005712866368604073;0.1372067251484396;0.0006381449266163749;1.991698314995784e-06;0.40711462450592883
5jHHrDL2sqDqV326TvhQlK;0.0;0.0004967709885742673;0.09471618127709194;0.0001922726875194695;8.476871874657136e-11;1.0
4QFG9KrGWEbr6hNA58CAqE;0.0063893708485775;0.009935419771485345;0.17420386617013794;0.0011439261959317736;0.024133172297717914;0.12564102564102564
1B0fCkXH620aujSMm3wIKS;0.0;0.0;0.0;4.4736724377502866e-05;4.458598715376266e-47;0.0
03eZ4y8baXNaR68hpkkDoq;0.00272172553594421;0.007451564828614009;0.14875428201376703;0.0012434298951855829;3.2886238714494125e-05;0.21839080459770116
7gmUEqRjXK144s5jQMVc8c;0.0016443841889851553;0.003974167908594138;0.13202895854423297;0.0007107256912108112;1.8177451046885418e-06;0.23333333333333334
6P5E47LG2XlrXhGu5Ia17x;0.0;0.00024838549428713363;0.00024838549428713363;0.00029824482918016076;2.992114948207605e-39;0.0
3KNIG74xSTc3dj0TRy7pGX;0.0006789380994915951;0.007203179334326876;0.18619923916436554;0.0007152004860039674;0.003488570485407346;0.2438423645320197
31czVneIywpUwJTNOVviJx;0.00016036460896780736;0.0012419274714356682;0.10915539211498662;0.0003660798850150731;1.3738606585831146e-08;0.3
0huGjMyP507tBCARyzSkrv;5.9392175716058095e-05;0.0029806259314456036;0.17649456093568405;0.00031440795056692807;0.0018298864933470108;0.36363636363636365
6SQ1V0fuKnQGrLYE37Q1n3;4.0623854768781106e-05;0.0007451564828614009;0.12337903903180855;0.00013932271945200708;1.411010442376306e-07;0.6666666666666666
45gHcnDnMC15sgx3VL7ROG;0.00199049634210482;0.009687034277198211;0.18651286429349534;0.001066256700662368;0.004631652775484478;0.17408906882591094
64Eb4jttIVIP6T2qVBP8wh;0.0008376135173550287;0.003229011425732737;0.1369521829584419;0.0005548068342343864;5.987901183288494e-06;0.1794871794871795
6WOaBFTxwD7SMMT8ZRTYga;0.0;0.0;0.0;4.4736724377502866e-05;4.458598715376266e-47;0.0
4vPryUsOzD7R9daRuvKwFz;0.00016813988168358577;0.0009935419771485345;0.12268870149138351;0.00018743164643421738;1.3474294650086008e-07;0.3333333333333333
