node;eigenvector;pagerank;closeness;degree;clustering_coeffs
74terC9ol9zMo8rfzhSOiG;1.0355950048249839e-29;6.497176934239781e-05;5.510856387082553e-05;5.510856387082553e-05;0.0
71BhXa24Zf5zcikUb00l2N;3.7316620471195713e-06;3.034957265268794e-05;0.12758478907320508;0.0001653256916124766;1.0
7MFvm8pwjLdmVBZddGNiQH;7.138229506188769e-08;7.57592141504552e-05;0.10861938164168813;0.00022043425548330211;0.0
5OkJ74jazRprW3kCTjfgOL;3.1062634421888832e-06;4.544015738364352e-05;0.12375619569404321;0.0001653256916124766;0.0
0AjnB78SikKKhqYoqFIOXn;9.876203583001937e-36;9.745767412572104e-06;0.0;0.0;0.0
2tGETO39QXKpmeQMSzr5I6;3.828516570566896e-08;3.3902386157377655e-05;0.10684687215014621;0.00011021712774165106;0.0
6cd9X2t4HN8zjoxOblaDTz;6.330780689400407e-10;7.243606784547259e-05;0.09000978266024302;0.00022043425548330211;0.5
4Lm0pUvmisUHMdoky5ch2I;6.379643418400957e-05;6.832047110347403e-05;0.14405735635023534;0.0003306513832249532;0.06666666666666667
6M2wZ9GZgrQXHCFfjv46we;0.029700743243652607;0.00034164853831182584;0.19236942644764496;0.003196296704507881;0.0647307924984876
0SIXZXJCAhNU8sxK0qm7hn;0.00010137799247127604;5.737117596967268e-05;0.1460170504147138;0.00022043425548330211;0.16666666666666666
7jXoGtR69J2iYCefc58MZX;9.649994476342052e-07;5.366392090408239e-05;0.11408798074201174;0.0001653256916124766;0.0
2sjnyyL9NXijL3Fr2eLikf;1.0621889473314492e-05;0.0001879611964557393;0.13044050664002946;0.0007715198941915574;0.21978021978021978
0qZ24TkLCHoE3ajCzGItJ1;9.876203583001937e-36;9.745767412572104e-06;0.0;0.0;0.0
4e0nWw2r4BoQSKPQ2zpU13;0.0017994832444895637;6.274883452815501e-05;0.16821895076415894;0.0004959770748374297;0.1111111111111111
2AZOALDIBORfbzKTuliwdJ;0.00035061740785216123;0.00018870173406979228;0.1583159776001825;0.0011021712774165107;0.07368421052631578
7jZMxhsB8djyIbYmoiJSTs;0.020080703551159748;0.00013309622930245753;0.1760657980562106;0.0013226055328998127;0.12318840579710146
6HHje5tfmzWK8PsSaoJ9Xp;9.876203583001937e-36;9.745767412572104e-06;0.0;0.0;0.0
3JCyEziWwDZksR1WY8EckM;2.534555296010319e-05;0.00013333414746471544;0.13513597213861733;0.0006061942025790808;0.21818181818181817
6Xg22wJOAcnvPUfk5WvODH;0.0007330195090089338;4.460150836898388e-05;0.1585617993577349;0.00022043425548330211;0.16666666666666666
70x9rYb58QCNNeNxuO3StS;1.2180485473914125e-05;9.899685664551751e-05;0.12738329560331918;0.0005510856387082553;0.2222222222222222
1tKrZaph4cLsnEdqC5BNEQ;4.567681702018226e-05;0.00014111446651580848;0.1323450419489166;0.0008817370219332085;0.08333333333333333
6pZzHAdfBLIEkQVRUhB8ps;2.1971561612701826e-05;3.623826417520467e-05;0.13005187354668452;0.00011021712774165106;0.0
15tTVhFpH8EFXeDgO9xkRO;9.876203583001937e-36;9.745767412572104e-06;0.0;0.0;0.0
5YxFBIX6yyncauK1DmRPY7;5.073309652278517e-11;3.33612339608681e-05;0.08539749085569988;5.510856387082553e-05;0.0
2tY2GFdhH0Wa2VBvsxew5X;0.000698866309731468;0.00017203434210696564;0.1614317378009548;0.0012123884051581616;0.05627705627705628
4u5rOZ3ecm8hFzCskgOEw3;1.4796845835636973e-05;6.0800602698660484e-05;0.1337830044484277;0.00027554281935412766;0.6
0OYspJRShx3Yx7QIykOJgq;9.876203583001937e-36;9.745767412572104e-06;0.0;0.0;0.0
5uO0iSpH2o5KCJfJI3oF2p;9.876203583001937e-36;9.745767412572104e-06;0.0;0.0;0.0
6LBCQo20ri3tsvbsWWLmr6;9.876203583001937e-36;9.745767412572104e-06;0.0;0.0;0.0
29OFoMngbkNzwla2kczgdu;1.1340338724526438e-05;1.4016643158228453e-05;0.12200096182552538;5.510856387082553e-05;0.0
4N874uPqBka1QiCvnCVOtr;0.005545823178374496;0.00010736236289841318;0.17004093726113095;0.0008817370219332085;0.08333333333333333
